idx,category,L_a,L_b,L_joined,l2_joint,l2_sum,l2_diff,rel_l2,cosine,a,b
0,related,7,8,15,29.371702,55.935043,32.249634,1.097983,0.898221,The cat sat on the mat.,A feline rested on the rug.
1,related,6,5,11,28.328030,53.093086,29.438553,1.039202,0.915786,She bought a new car.,He purchased a vehicle.
2,related,6,7,13,24.669699,48.100731,27.695116,1.122637,0.908141,The team won the championship.,Our squad took home the trophy.
3,unrelated,7,7,14,29.285431,51.975491,29.459057,1.005929,0.884045,Quantum physics is notoriously difficult.,I really enjoy strawberry ice cream.
4,unrelated,6,9,15,28.801456,49.832489,27.107843,0.941197,0.898091,The election was hotly contested.,The chef prepared a five-course dinner.
5,unrelated,7,7,14,29.156366,49.417759,31.180368,1.069419,0.805082,Birds migrate south in winter.,Stock prices fluctuated all morning.
6,interacting,6,5,11,30.612352,53.223206,28.936567,0.945258,0.899933,The man approached the dog.,It started barking loudly.
7,interacting,5,6,11,27.941038,53.055977,30.363550,1.086701,0.901789,The temperature dropped sharply.,Everyone reached for warm clothes.
8,interacting,6,7,13,29.082235,56.102955,32.045406,1.101889,0.909050,She entered the dim room.,She closed the door behind her.
9,interacting,7,6,13,28.176550,51.320377,28.858242,1.024194,0.897249,The window broke during the storm.,Rain poured onto the carpet.
